Comment,Designator,Footprint,LCSC
LED,"JP1,JP2,JP3",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,C116791
100K,"R5,R6",R_0805_2012Metric,C149504
10K,R3,R_0805_2012Metric,C17414
1K,R1,R_0805_2012Metric,C17513
30ohm,FB1,R_0805_2012Metric,C17634
4.7K,"R2,R4",R_0805_2012Metric,C17673
100n,"C1,C2",C_0805_2012Metric,C49678
RED,D1,LED_0805_2012Metric,C84256
LSM6DS3,U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C967633
M3,H3,MountingHole_3.2mm_M3_Pad_Via,
INT2,TP2,TestPoint_Keystone_5000-5004_Miniature,
XH/4P/2.5,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
M3,H4,MountingHole_3.2mm_M3_Pad_Via,
XH/4P/2.5,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
M3,H2,MountingHole_3.2mm_M3_Pad_Via,
M3,H1,MountingHole_3.2mm_M3_Pad_Via,
INT1,TP1,TestPoint_Keystone_5000-5004_Miniature,
